clip_id,drive_id,t_center_s,label
drive_01_clip_001,drive_01,39.8,not_pothole
drive_01_clip_002,drive_01,45.2,unsure
drive_01_clip_003,drive_01,55.89,not_pothole
drive_01_clip_004,drive_01,58.4,not_pothole
drive_01_clip_005,drive_01,61.0,unsure
drive_01_clip_006,drive_01,105.6,unsure
drive_01_clip_007,drive_01,110.8,not_pothole
drive_01_clip_008,drive_01,123.8,unsure
drive_01_clip_009,drive_01,169.4,unsure
drive_01_clip_010,drive_01,172.4,not_pothole
drive_01_clip_011,drive_01,195.09,unsure
drive_01_clip_012,drive_01,202.8,not_pothole
drive_01_clip_013,drive_01,204.69,not_pothole
drive_01_clip_014,drive_01,254.4,not_pothole
drive_01_clip_015,drive_01,299.0,not_pothole
drive_01_clip_016,drive_01,342.69,not_pothole
drive_01_clip_017,drive_01,408.8,not_pothole
drive_01_clip_018,drive_01,415.6,not_pothole
drive_01_clip_019,drive_01,419.6,not_pothole
drive_01_clip_020,drive_01,431.89,unsure
drive_01_clip_021,drive_01,443.4,not_pothole
drive_01_clip_022,drive_01,445.4,not_pothole
drive_01_clip_023,drive_01,456.69,not_pothole
drive_01_clip_024,drive_01,458.69,not_pothole
drive_01_clip_025,drive_01,492.4,not_pothole
drive_01_clip_026,drive_01,515.2,not_pothole
drive_01_clip_027,drive_01,523.4,not_pothole
drive_01_clip_028,drive_01,525.8,unsure
drive_01_clip_029,drive_01,528.8,unsure
drive_01_clip_030,drive_01,545.0,not_pothole
drive_01_clip_031,drive_01,556.8,unsure
drive_01_clip_032,drive_01,574.4,unsure
drive_01_clip_033,drive_01,579.6,unsure
drive_01_clip_034,drive_01,619.49,not_pothole
drive_01_clip_035,drive_01,639.4,not_pothole
drive_01_clip_036,drive_01,644.4,unsure
drive_01_clip_037,drive_01,656.8,not_pothole
drive_01_clip_038,drive_01,676.4,not_pothole
drive_01_clip_039,drive_01,679.0,unsure
drive_01_clip_040,drive_01,683.0,not_pothole
drive_01_clip_041,drive_01,694.2,unsure
drive_01_clip_042,drive_01,703.4,not_pothole
drive_01_clip_043,drive_01,716.0,unsure
drive_01_clip_044,drive_01,718.4,unsure
drive_01_clip_045,drive_01,734.0,not_pothole
drive_01_clip_046,drive_01,748.0,unsure
drive_01_clip_047,drive_01,750.8,not_pothole
drive_01_clip_048,drive_01,774.29,not_pothole
drive_01_clip_049,drive_01,775.89,unsure
drive_01_clip_050,drive_01,778.0,not_pothole
drive_01_clip_051,drive_01,782.0,not_pothole
drive_01_clip_052,drive_01,796.4,not_pothole
drive_01_clip_053,drive_01,815.49,not_pothole
drive_01_clip_054,drive_01,842.6,not_pothole
drive_01_clip_055,drive_01,845.0,not_pothole
drive_01_clip_056,drive_01,858.2,not_pothole
drive_01_clip_057,drive_01,861.0,not_pothole
drive_01_clip_058,drive_01,867.2,not_pothole
drive_01_clip_059,drive_01,925.0,not_pothole
drive_01_clip_060,drive_01,940.0,not_pothole
drive_01_clip_061,drive_01,946.8,not_pothole
drive_01_clip_062,drive_01,949.8,unsure
drive_01_clip_063,drive_01,335.58,not_pothole
drive_01_clip_064,drive_01,359.6,not_pothole
drive_01_clip_065,drive_01,263.98,not_pothole
drive_01_clip_066,drive_01,826.72,not_pothole
drive_01_clip_067,drive_01,259.84,not_pothole
drive_01_clip_068,drive_01,396.53,not_pothole
drive_01_clip_069,drive_01,908.33,not_pothole
drive_01_clip_070,drive_01,836.36,not_pothole
drive_01_clip_071,drive_01,269.22,not_pothole
drive_01_clip_072,drive_01,881.57,not_pothole
drive_01_clip_073,drive_01,847.98,not_pothole
drive_01_clip_074,drive_01,885.31,unsure
drive_01_clip_075,drive_01,931.46,not_pothole
drive_01_clip_076,drive_01,512.5,not_pothole
drive_01_clip_077,drive_01,315.51,not_pothole
drive_01_clip_078,drive_01,214.54,not_pothole
drive_01_clip_079,drive_01,279.63,not_pothole
drive_01_clip_080,drive_01,564.06,not_pothole
drive_02_clip_001,drive_02,39.88,unsure
drive_02_clip_002,drive_02,41.7,not_pothole
drive_02_clip_003,drive_02,96.28,unsure
drive_02_clip_004,drive_02,103.88,pothole
drive_02_clip_005,drive_02,110.48,unsure
drive_02_clip_006,drive_02,115.09,unsure
drive_02_clip_007,drive_02,132.68,unsure
drive_02_clip_008,drive_02,135.94,not_pothole
drive_02_clip_009,drive_02,106.9,unsure
drive_03_clip_001,drive_03,54.56,not_pothole
drive_03_clip_002,drive_03,71.01,not_pothole
drive_03_clip_003,drive_03,75.99,not_pothole
drive_03_clip_004,drive_03,87.25,not_pothole
drive_03_clip_005,drive_03,93.05,not_pothole
drive_03_clip_006,drive_03,105.85,not_pothole
drive_03_clip_007,drive_03,118.85,pothole
drive_03_clip_008,drive_03,151.33,unsure
drive_03_clip_009,drive_03,156.52,unsure
drive_03_clip_010,drive_03,168.22,pothole
drive_03_clip_011,drive_03,170.38,unsure
drive_03_clip_012,drive_03,173.84,unsure
drive_03_clip_013,drive_03,179.45,not_pothole
drive_03_clip_014,drive_03,181.2,not_pothole
drive_03_clip_015,drive_03,217.14,not_pothole
drive_03_clip_016,drive_03,219.52,not_pothole
drive_03_clip_017,drive_03,233.05,not_pothole
drive_03_clip_018,drive_03,238.25,pothole
drive_03_clip_019,drive_03,245.94,pothole
drive_03_clip_020,drive_03,292.7,not_pothole
drive_03_clip_021,drive_03,294.43,not_pothole
drive_03_clip_022,drive_03,361.85,not_pothole
drive_03_clip_023,drive_03,378.25,unsure
drive_03_clip_024,drive_03,395.97,unsure
drive_03_clip_025,drive_03,398.35,unsure
drive_03_clip_026,drive_03,424.76,pothole
drive_03_clip_027,drive_03,427.57,unsure
drive_03_clip_028,drive_03,430.65,unsure
drive_03_clip_029,drive_03,432.25,unsure
drive_03_clip_030,drive_03,455.05,unsure
drive_03_clip_031,drive_03,463.51,unsure
drive_03_clip_032,drive_03,468.71,unsure
drive_03_clip_033,drive_03,480.61,unsure
drive_03_clip_034,drive_03,486.03,unsure
drive_03_clip_035,drive_03,492.95,not_pothole
drive_03_clip_036,drive_03,497.72,unsure
drive_03_clip_037,drive_03,532.79,unsure
drive_03_clip_038,drive_03,547.05,not_pothole
drive_03_clip_039,drive_03,551.45,not_pothole
drive_03_clip_040,drive_03,665.85,not_pothole
drive_03_clip_041,drive_03,713.78,not_pothole
drive_03_clip_042,drive_03,740.19,unsure
drive_03_clip_043,drive_03,757.51,not_pothole
drive_03_clip_044,drive_03,770.25,not_pothole
drive_03_clip_045,drive_03,844.32,unsure
drive_03_clip_046,drive_03,848.65,not_pothole
drive_03_clip_047,drive_03,859.05,not_pothole
drive_03_clip_048,drive_03,861.64,not_pothole
drive_03_clip_049,drive_03,875.06,not_pothole
drive_03_clip_050,drive_03,876.8,not_pothole
drive_03_clip_051,drive_03,635.92,not_pothole
drive_03_clip_052,drive_03,618.4,not_pothole
drive_03_clip_053,drive_03,84.73,not_pothole
drive_03_clip_054,drive_03,488.78,unsure
drive_03_clip_055,drive_03,326.92,not_pothole
drive_03_clip_056,drive_03,346.44,not_pothole
drive_03_clip_057,drive_03,256.25,not_pothole
drive_03_clip_058,drive_03,697.32,not_pothole
drive_03_clip_059,drive_03,306.13,not_pothole
drive_03_clip_060,drive_03,343.24,not_pothole
drive_03_clip_061,drive_03,64.3,not_pothole
drive_03_clip_062,drive_03,338.61,not_pothole
drive_03_clip_063,drive_03,131.17,not_pothole
drive_03_clip_064,drive_03,592.3,not_pothole
drive_04_clip_001,drive_04,42.4,not_pothole
drive_04_clip_002,drive_04,53.2,not_pothole
drive_04_clip_003,drive_04,60.6,unsure
drive_04_clip_004,drive_04,72.67,not_pothole
drive_04_clip_005,drive_04,79.47,not_pothole
drive_04_clip_006,drive_04,83.2,unsure
drive_04_clip_007,drive_04,100.67,not_pothole
drive_04_clip_008,drive_04,103.23,unsure
drive_04_clip_009,drive_04,26.61,not_pothole
drive_05_clip_001,drive_05,31.86,not_pothole
drive_05_clip_002,drive_05,45.86,not_pothole
drive_05_clip_003,drive_05,71.06,not_pothole
drive_05_clip_004,drive_05,154.26,not_pothole
drive_05_clip_005,drive_05,182.26,not_pothole
drive_05_clip_006,drive_05,200.26,not_pothole
drive_05_clip_007,drive_05,230.26,not_pothole
drive_05_clip_008,drive_05,241.46,not_pothole
drive_05_clip_009,drive_05,245.46,not_pothole
drive_05_clip_010,drive_05,251.86,not_pothole
drive_05_clip_011,drive_05,284.62,not_pothole
drive_05_clip_012,drive_05,287.06,unsure
drive_05_clip_013,drive_05,319.06,not_pothole
drive_05_clip_014,drive_05,324.66,unsure
drive_05_clip_015,drive_05,336.66,pothole
drive_05_clip_016,drive_05,407.86,not_pothole
drive_05_clip_017,drive_05,416.26,not_pothole
drive_05_clip_018,drive_05,467.06,unsure
drive_05_clip_019,drive_05,96.44,not_pothole
drive_05_clip_020,drive_05,344.39,not_pothole
drive_05_clip_021,drive_05,135.78,not_pothole
drive_05_clip_022,drive_05,63.06,not_pothole
drive_05_clip_023,drive_05,374.87,not_pothole
drive_06_clip_001,drive_06,23.08,unsure
drive_06_clip_002,drive_06,91.88,unsure
drive_06_clip_003,drive_06,117.08,not_pothole
drive_06_clip_004,drive_06,132.68,unsure
drive_06_clip_005,drive_06,155.88,unsure
drive_06_clip_006,drive_06,161.48,unsure
drive_06_clip_007,drive_06,169.88,unsure
drive_06_clip_008,drive_06,178.28,unsure
drive_06_clip_009,drive_06,191.88,not_pothole
drive_06_clip_010,drive_06,199.63,not_pothole
drive_06_clip_011,drive_06,222.28,unsure
drive_06_clip_012,drive_06,243.08,not_pothole
drive_06_clip_013,drive_06,255.08,unsure
drive_06_clip_014,drive_06,271.88,unsure
drive_06_clip_015,drive_06,285.48,unsure
drive_06_clip_016,drive_06,351.88,unsure
drive_06_clip_017,drive_06,365.08,not_pothole
drive_06_clip_018,drive_06,378.28,unsure
drive_06_clip_019,drive_06,386.68,not_pothole
drive_06_clip_020,drive_06,410.28,unsure
drive_06_clip_021,drive_06,441.88,not_pothole
drive_06_clip_022,drive_06,458.36,pothole
drive_06_clip_023,drive_06,468.1,pothole
drive_06_clip_024,drive_06,471.48,pothole
drive_06_clip_025,drive_06,516.28,unsure
drive_06_clip_026,drive_06,542.43,unsure
drive_06_clip_027,drive_06,544.67,unsure
drive_06_clip_028,drive_06,549.34,not_pothole
drive_06_clip_029,drive_06,553.88,unsure
drive_06_clip_030,drive_06,557.08,unsure
drive_06_clip_031,drive_06,571.88,not_pothole
drive_06_clip_032,drive_06,586.5,not_pothole
drive_06_clip_033,drive_06,599.88,not_pothole
drive_06_clip_034,drive_06,611.88,unsure
drive_06_clip_035,drive_06,615.48,pothole
drive_06_clip_036,drive_06,630.68,unsure
drive_06_clip_037,drive_06,647.48,pothole
drive_06_clip_038,drive_06,79.32,not_pothole
drive_06_clip_039,drive_06,504.55,not_pothole
drive_06_clip_040,drive_06,476.88,unsure
drive_06_clip_041,drive_06,360.84,unsure
drive_06_clip_042,drive_06,334.91,unsure
drive_06_clip_043,drive_06,590.68,not_pothole
drive_06_clip_044,drive_06,445.02,unsure
drive_06_clip_045,drive_06,492.16,not_pothole
drive_06_clip_046,drive_06,423.64,not_pothole
drive_06_clip_047,drive_06,671.67,unsure
